"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 10:47:41 GMT 2024","Sun Dec 15 10:47:43 GMT 2024","2179","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 10:47:53 GMT 2024","Sun Dec 15 10:47:54 GMT 2024","940","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 10:48:02 GMT 2024","Sun Dec 15 10:48:02 GMT 2024","604","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 10:48:01 GMT 2024","Sun Dec 15 10:48:02 GMT 2024","1146","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 10:47:43 GMT 2024","Sun Dec 15 10:47:45 GMT 2024","2195","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 10:48:02 GMT 2024","Sun Dec 15 10:48:03 GMT 2024","150","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 10:47:47 GMT 2024","Sun Dec 15 10:47:48 GMT 2024","808","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 10:47:48 GMT 2024","Sun Dec 15 10:47:48 GMT 2024","352","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 10:47:56 GMT 2024","Sun Dec 15 10:47:58 GMT 2024","2330","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 10:47:51 GMT 2024","Sun Dec 15 10:47:53 GMT 2024","1733","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 10:47:48 GMT 2024","Sun Dec 15 10:47:48 GMT 2024","261","Home page tests","","","","","should open add more page",""
