"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 11:03:58 GMT 2024","Sun Dec 15 11:03:58 GMT 2024","376","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 11:04:12 GMT 2024","Sun Dec 15 11:04:15 GMT 2024","2386","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 11:04:08 GMT 2024","Sun Dec 15 11:04:09 GMT 2024","1009","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 11:04:03 GMT 2024","Sun Dec 15 11:04:03 GMT 2024","625","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 11:04:06 GMT 2024","Sun Dec 15 11:04:08 GMT 2024","1670","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 11:04:03 GMT 2024","Sun Dec 15 11:04:03 GMT 2024","160","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 11:04:01 GMT 2024","Sun Dec 15 11:04:02 GMT 2024","1177","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 11:03:58 GMT 2024","Sun Dec 15 11:03:58 GMT 2024","298","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 11:03:52 GMT 2024","Sun Dec 15 11:03:54 GMT 2024","2605","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 11:03:57 GMT 2024","Sun Dec 15 11:03:58 GMT 2024","883","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 11:03:49 GMT 2024","Sun Dec 15 11:03:52 GMT 2024","2152","Edit page tests","","","","","should correctly autocomplete users data",""
